disease,symptom
carbon monoxide poisoning,blur breath confus conscious dizzi dull headach loss nausea short vision vomit weak
clubfoot,actual affect arch calf downward foot heel increas inward leg look muscl sever shorter slight turn twist underdevelop upsid usual
adult attention-deficit/hyperactivity disorder (adhd),activ complet cope disorgan excess focus follow frequent frustrat hot impuls low manag mood multitask plan poor priorit problem restless skill stress swing task temper time toler troubl
hypercalcemia,arrhythmia blood bone brain calcium cardiac case caus confus constip depress digest excess faint fatigu filter frequent function harder heart hypercalcemia indic interfer kidney leach lethargi make muscl nausea pain palpit problem rare result sever stomach system thirst upset urin vomit weak weaken work
swollen knee,abl affect bear bend buildup caus compar complet contain depend difficult especi excess fluid imposs joint knee kneecap leg normal notic pain point puff skin stiff straighten swell weight
hypoparathyroidism,ach anxieti arm brittl burn coars cramp depress dri face fatigu feet fingertip hair hand leg lip loss menstrual mouth muscl nail pain particular patchi period skin spasm stomach throat tingl toe twitch weak
complex regional pain syndrome,abil affect altern area arm atrophi blotchi blue bodi burn chang cold color continu damag decreas foot growth hair hand joint leg loss muscl nail pain rang red sensit shini skin spasm stiff sweati swell temperatur tender textur thin throb touch tremor usual weak white
type 1 diabetes,bed blur chang children extrem fatigu frequent hunger increas irrit loss mood night previous thirst unintend urin vision weak weight wet
reactive arthritis,affect ankl arthriti associ bone buttock case cervix common conjunct develop discomfort enter enthes eye feet finger frequenc gland heel includ increas inflamm joint knee ligament low morn mouth muscl night occur pain palm peopl problem prostat rash reactiv resembl sausag skin soft sole sore stiff swollen tend tendon tissu toe urin urinari varieti way wors
spinal cord injury,abil activ affect alter area arm bladder bowel breath call caus chang clear cold complet control cord cough damag degre difficulti exagger feel fertil fiber function hand heat includ incomplet injuri intens known leg loss lost lung mean motor movement nerv organ pain paralysi paraplegia pelvic quadriplegia reflex secret sensat sensit sensori sexual spasm spinal sting tetraplegia touch trunk vari
jet lag disorder,chang concentr constip daytim diarrhea difficulti disturb earli excess fatigu feel function general insomnia level mood problem sleep sleepi stomach usual wake
sty,boil eyelid lump pain pimpl red similar swell tear
marfan syndrome,abnorm arch arm breastbon build crowd curv dip disproportion extrem feet finger flat heart high inward leg long murmur nearsighted outward palat protrud slender spine tall teeth
absence seizure,chew eyelid fall finger flutter hand lip motion movement rub smack small stop sudden
cryptosporidium infection,appetit cramp dehydr diarrhea fever lack loss nausea pain stomach vomit wateri weight
granulomatosis with polyangiitis,blood bloodi breath bruis burn cough crust drainag ear eye fatigu fever finger hear infect inflamm joint like limb loss nose noseble numb pain phlegm problem pus rash red short sinus skin sore stuffi toe urin vision weight wheez
polyhydramnios,abdomin breath breech contract discomfort extrem fetal inabl lower malposit present short swell uterin wall
"multiple endocrine neoplasia, type 1 (men 1)",bone broken intestin kidney pain stomach stone tired ulcer
tricuspid atresia,abdomen ankl ascit blue breath cyanosi difficulti easili edema especi fatigu feed feet fluid gain growth leg lip poor retent short skin slow sudden swell ting tire weak weight
ankylosing spondylitis,attach base bone breastbon cartilag heel hip joint ligament lower main pelvi place rib shoulder spine tendon vertebra
barrett's esophagus,chest common content difficulti food frequent heartburn pain regurgit stomach swallow
niemann-pick,clumsi contract difficulti disturb dystonia eat excess eye movement muscl pneumonia recurr sleep swallow walk
tinea versicolor,appear arm chest darker discolor itch lighter mild neck patch scale skin upper usual
pet allergy,audibl awaken blue breath caus chest child color congest cough difficulti drip exhal eye facial frequent itchi mouth nasal nose pain postnas pressur red roof rub runni short skin sleep sneez sound swollen throat tight troubl upward wateri wheez whistl
mouth cancer,difficult ear growth heal insid lip loos lump mouth pain patch reddish sore swallow teeth white
pediatric obstructive sleep apnea,attent bed behavior breath choke cough difficulti gain hyperact learn mouth nighttim paus pay perform poor problem restless school sleep snore snort sweat terror weight wet
toxic shock syndrome,ach blood confus diarrhea eye fever headach high low mouth muscl palm particular pressur rash red resembl seizur sole sudden sunburn throat vomit
wolff-parkinson-white (wpw) syndrome,anxieti breath chest difficulti dizzi faint fatigu flutter heartbeat lightheaded pain palpit pound rapid short
alcohol use disorder,abil activ agit alcohol anxieti attempt attent avoid behavior blackout blood bloodstream call caus chang coma concentr continu coordin crave cut day death develop drink drive effect event experienc fail feel fulfil function get give great hallucin hand heartbeat heavi high higher hobbi home hour impair inappropri includ increas interperson intox judgment know later lead level limit lot major make memori mental mood nausea need oblig occasion occur period physic poor problem prolong rapid recov reduc rememb repeat restless result safe school seizur sever shake sign situat sleep slur social speech spend stop strong sweat swim symptom time toler tremor unabl unstabl unsuccess urg use vomit want withdraw work
nonallergic rhinitis,cough drip mucus nose phlegm postnas runni sneez stuffi throat
testicular torsion,abdomin angl bag contain fever frequent higher loos nausea normal pain peni posit scrotum sever skin sudden swell testicl unusu urin vomit
myoclonus,bodi brief eat frequenc intens interfer involuntari like local sever shock speak sudden variabl walk
scarlet fever,appear appli arm armpit begin bumpi chill coat cover deeper difficulti diseas earli elbow enlarg face feel fever flush fold general gland groin headach higher knee leg like line look lymph mouth nausea neck node pale patch pressur rash red redden ring sandpap skin sore spread strawberri sunburn surround swallow tender throat tongu touch trunk turn typic usual vomit white yellowish
vaginal atrophy,activ bleed burn canal decreas discharg discomfort dryness frequent genit incontin infect intercours itch light lubric recurr sexual shorten tighten tract urgenc urin urinari vagin
prostate cancer,blood bone decreas dysfunct erectil forc lose pain semen stream tri troubl urin weight
dermatitis,affect african allerg american area atop begin blister bodi brown bump call cap caus chest come common condit contact cradl crust dandruff dark dermat develop eczema elbow experi face flare flex fluid follicl follicular hair improv infanc infant insid irrit itchi knee leak long neck occur oili patch peopl period rash reaction red scali scratch season seborrh skin sting stubborn substanc term thicken type up upper usual
cervical cancer,bleed bloodi discharg foul heavi intercours menopaus odor pain pelvic period vagin wateri
basal cell carcinoma,appear basal bit black bleed blood blue border brown bump call carcinoma cell chest clear color common dark darker defin ear edg face flat grow larg lesion like mean morpheaform patch pear peopl pink rais reddish ruptur scab scali scar skin slight somewhat spot surfac time tini tone transluc type vessel visibl waxi white
dengue fever,bleed blood bone breath bruis difficult eye fatigu gland gum headach irrit joint like look muscl nausea nose pain persist rapid rash restless sever skin stomach stool swollen urin vomit
